tns_name,repeater_name,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,R_cc,is_repeater,ra,dec,dm_exc_ne2001,dm_exc_ymw16
FRB20190303D,FRB20190303D,126.52,46.23,55.0,141.7,9.78,710.1,11.16,711.151,0.00295,0.0016,0.59,1.17,0,0.00081,-0.9,-5.6,564.8,400.2,440.8,328339.172,328732,47.198,0.62,1,185.339,70.691,674.5,682.5
FRB20181201D,FRB20181201D,121.98,27.37,3590.0,4359.0,16.2,448.0,16.8,448.266,0.00197,0.000168,0.56,1.4,0,0.00022,5.6,-56.0,515.3,400.2,420.7,147096.312,146673,52.881,0.64,1,266.9,89.125,394.5,397.4
FRB20190328C,FRB20190328C,130.57,23.32,310.0,290.0,18.25,470.7,21.65,472.8607,0.00393,0.0023,4.7,14.9,0,0.00077,0.7,-2.7,800.2,400.2,459.0,500293.147,499256,46.539,0.71,1,75.649,82.11,408.8,406.4
FRB20191105B,FRB20191105B,140.6,20.42,163.0,160.6,18.34,318.6,21.03,318.6134,0.00197,0.0014,1.89,2.7,0,0.000708,0.1,-0.1,800.2,400.2,504.3,332745.324,339144,45.526,0.73,1,84.106,72.519,245.1,234.9
FRB20190107B,FRB20190107B,0.0,0.0,360.0,330.0,20.62,166.6,26.84,166.0939,0.00098,0.0009,2.8,4.3,0,0.000451,-1.3,-3.1,784.4,400.2,400.2,126924.469,122525,60.638,0.78,1,49.31,83.4,98.2,93.0
FRB20200320A,FRB20200320A,160.2,-38.32,59.0,-9999.0,81.86,592.0,284.81,594.9314,0.0059,0.002461,19.0,114.0,0,0.001186,3.553,-10.37,760.8,400.2,474.9,561972.98,517268,44.611,0.92,1,42.451,15.844,549.3,555.8
FRB20190210C,FRB20190210C,122.16,26.71,3400.0,3090.0,19.69,642.1,27.31,643.3669,0.00197,0.00025,2.37,3.6,0,0.000286,0.35,-1.5,800.2,400.2,448.5,310287.093,310719,50.092,1.05,1,313.9,89.19,589.5,592.2
FRB20190812A,FRB20190812A,78.06,29.8,81.0,-9999.0,64.03,253.9,76.75,254.5239,0.00295,0.000494,4.3,13.0,0,0.000601,-0.57,-3.94,800.2,400.2,400.2,275872.598,271047,56.464,1.37,1,268.05,50.707,206.1,213.3
FRB20200828A,FRB20200828A,134.1,28.63,240.0,220.0,9.86,559.7,11.49,561.31,0.00885,0.0062,0.59,3.4,0,0.00311,3.3,-5.4,800.2,400.2,534.7,487495.205,486204,47.937,1.6,1,114.08,80.021,507.7,511.0
FRB20190905A,FRB20190905A,124.64,26.25,5400.0,3900.0,9.7,253.9,16.48,254.111,0.00393,0.0023,0.37,1.79,0,0.00113,26.3,-58.9,613.3,413.6,503.7,286915.779,287198,53.87,2.21,1,73.271,88.236,197.0,198.7
