tns_name,count,sub_num
FRB20180801A,807,0.0
FRB20180920B,1000,0.0
FRB20180925A,907,0.0
FRB20181017B,1000,0.0
FRB20181125A,905,0.0
FRB20181125A,785,1.0
FRB20181125A,980,2.0
FRB20181128C,917,0.0
FRB20181129B,949,0.0
FRB20181203B,996,0.0
FRB20181213B,788,0.0
FRB20181214A,994,0.0
FRB20181221A,1000,0.0
FRB20181223B,400,0.0
FRB20181229B,1000,0.0
FRB20181231B,1000,0.0
FRB20190106A,946,0.0
FRB20190107A,409,0.0
FRB20190112A,1000,0.0
FRB20190118B,695,0.0
FRB20190125A,1000,0.0
FRB20190128C,1000,0.0
FRB20190129A,998,0.0
FRB20190130B,64,0.0
FRB20190206B,990,0.0
FRB20190206A,961,0.0
FRB20190214A,845,0.0
FRB20190218B,1000,0.0
FRB20190223A,938,0.0
FRB20190228A,1000,0.0
FRB20190329A,1000,0.0
FRB20190403G,434,0.0
FRB20190403E,604,0.0
FRB20190409B,976,0.0
FRB20190410A,1000,0.0
FRB20190411C,441,0.0
FRB20190422A,1000,0.0
FRB20190422A,1000,1.0
FRB20190422A,840,2.0
FRB20190423B,1000,0.0
FRB20190423B,1000,1.0
FRB20190429B,1000,0.0
FRB20190430A,872,0.0
FRB20190527A,1000,0.0
FRB20190527A,1000,1.0
FRB20190529A,748,0.0
FRB20190530A,240,0.0
FRB20190601B,847,0.0
FRB20190601C,994,0.0
FRB20190601C,951,1.0
FRB20190609A,952,0.0
FRB20190609A,999,1.0
FRB20190617B,1000,0.0
FRB20190701C,751,0.0
FRB20190905A,1000,0.0
FRB20200508H,999,0.0
FRB20201016A,549,0.0
FRB20190918C,960,0.0
FRB20200402A,42,0.0
FRB20210331F,1000,0.0
FRB20210331F,1000,1.0
FRB20210426B,993,0.0
FRB20210426B,1000,1.0
FRB20190102A,5,0.0
FRB20190114A,42,0.0
FRB20190323D,378,0.0
FRB20190531C,269,0.0
FRB20210323C,164,0.0
FRB20180907E,145,0.0
FRB20190412B,476,0.0
FRB20181228B,323,0.0
FRB20190124E,426,0.0
FRB20180920A,45,0.0
FRB20181101A,5,0.0
FRB20181230A,233,0.0
FRB20190103B,176,0.0
FRB20190617C,36,0.0
FRB20181030E,384,0.0
FRB20190308B,196,1.0
FRB20190519J,166,0.0
FRB20190109A,196,1.0
FRB20180915B,65,0.0
FRB20181018A,99,0.0
FRB20180928A,60,0.0
FRB20190109B,194,0.0
FRB20190419A,161,0.0
FRB20190125B,17,0.0
FRB20190105A,56,0.0
FRB20180909A,29,0.0
FRB20190224A,40,0.0
FRB20190308B,46,0.0
FRB20190109A,28,0.0
FRB20181222D,5,0.0
FRB20181012B,40,0.0
FRB20181013B,7,0.0
FRB20190629A,7,0.0
FRB20190423A,15,1.0
FRB20190423A,19,0.0
FRB20190122B,19,0.0
FRB20190213C,3,0.0
FRB20190607B,17,0.0
FRB20190426A,28,0.0
FRB20180916C,12,0.0
FRB20190110A,17,0.0
FRB20190203A,6,0.0
FRB20190428A,10,0.0
FRB20190106B,4,0.0
FRB20190204A,19,0.0
FRB20190309A,3,0.0
FRB20190604C,2,0.0
FRB20190625A,7,0.0
FRB20210316B,10,0.0
FRB20190304C,9,0.0
FRB20190308C,3,1.0
FRB20181218C,4,0.0
FRB20190515D,2,0.0
FRB20190519F,2,0.0
FRB20190221A,1,0.0
