tns_name,repeater_name,ra,dec,gl,gb,exp_up,exp_low,bonsai_snr,bonsai_dm,snr_fitb,dm_fitb,dm_exc_ne2001,dm_exc_ymw16,bc_width,scat_time,flux,fluence,sub_num,width_fitb,sp_idx,sp_run,high_freq,low_freq,peak_freq,chi_sq,dof,flag_frac,is_repeater,is_pcc_candidate,catalog
FRB20180725A,-9999,93.42,67.07,147.29,21.29,30.0,-9999.0,19.2,716.6,33.2,715.8093,644.2,635.4,0.00295,0.0011,1.7,4.1,0,0.000296,38.2,-45.8,760.1,485.3,607.4,371857.954,371481,0.403,0,0,2021
FRB20180727A,-9999,197.72,26.42,24.76,85.6,10.4,-9999.0,10.4,642.1,12.2,642.134,620.9,622.4,0.00295,0.0017,0.58,2.31,0,0.00139,3.8,-9.2,800.2,400.2,493.3,382969.318,381818,0.387,0,0,2021
FRB20180729A,-9999,199.4,55.58,115.26,61.16,21.0,-9999.0,32.0,108.4,206.6,109.59418,78.8,86.8,0.00098,0.0001574,11.7,17.0,0,0.0001,16.46,-30.21,692.7,400.2,525.6,264732.041,186953,0.399,0,0,2021
FRB20180729B,-9999,89.93,56.5,156.9,15.68,21.0,-9999.0,12.4,318.6,22.0,317.2235,223.2,198.8,0.00197,0.00066,0.92,1.2,0,0.000314,14.5,-14.6,800.2,441.8,657.5,425139.488,421337,0.323,0,0,2021
FRB20180730A,-9999,57.39,87.19,125.11,25.11,270.0,214.0,69.5,849.2,89.8,848.9041,789.7,790.5,0.00492,0.002073,5.2,27.0,0,0.000468,4.27,-11.31,759.2,400.2,483.5,429165.844,417689,0.329,0,0,2021
FRB20180801A,-9999,322.53,72.72,109.21,15.46,39.0,31.0,20.4,656.7,40.9,655.728,565.6,547.7,0.00983,0.00554,1.11,7.9,0,0.00058,60.0,-75.5,709.3,500.2,595.6,804325.253,800121,0.357,0,0,2021
FRB20180806A,-9999,228.56,75.62,112.27,38.4,48.0,39.0,13.9,739.2,14.4,739.9482,699.3,706.0,0.00295,0.0016,1.9,7.6,0,0.00141,0.1,-0.1,800.2,400.2,665.3,370874.518,369658,0.406,0,0,2021
FRB20180810A,-9999,101.47,34.86,180.67,14.06,15.0,-9999.0,13.1,415.7,16.5,414.8804,310.2,274.7,0.00197,0.000253,1.1,1.7,0,0.000322,1.1,-1.7,800.2,400.2,552.9,356074.278,356889,0.427,0,0,2021
FRB20180810B,-9999,180.41,83.14,124.71,33.82,58.0,38.0,38.6,169.8,55.1,169.1385,123.3,129.6,0.00098,0.000201,5.2,7.9,0,0.000311,-0.76,-4.06,778.6,400.2,400.2,191482.92,183305,0.411,0,0,2021
FRB20180812A,-9999,19.33,80.78,124.02,17.96,50.0,45.0,12.5,795.8,20.5,802.451,722.1,708.4,0.00786,0.00281,0.93,5.4,0,0.0013,-2.9,-8.3,586.4,400.2,400.2,563105.45,560873,0.399,0,0,2021
