TNS Name,Sub-burst,Count,From silver sample,Overlapping with
FRB20190527A,1,1000,✕,1; 2; 3
FRB20190527A,0,1000,✕,1; 2; 3
FRB20190422A,1,1000,✕,1; 2; 3
FRB20190422A,0,1000,✕,1; 2; 3
FRB20190617B,0,1000,✕,2; 3
FRB20190429B,0,1000,✕,2; 3
FRB20190423B,1,1000,✕,2; 3
FRB20190423B,0,1000,✕,2; 3
FRB20190410A,0,1000,✕,2; 3
FRB20190329A,0,1000,✕,2; 3
FRB20190218B,0,1000,✕,2; 3
FRB20190112A,0,1000,✕,2; 3
FRB20181231B,0,1000,✕,2; 3
FRB20181229B,0,1000,✕,2; 3
FRB20181221A,0,1000,✕,2; 3
FRB20181017B,0,1000,✕,2; 3
FRB20190228A,0,1000,✕,3
FRB20190128C,0,1000,✕,2
FRB20190125A,0,1000,✕,2
FRB20180920B,0,1000,✕,3
FRB20210426B,1,1000,✓,
FRB20210331F,1,1000,✓,
FRB20210331F,0,1000,✓,
FRB20190905A,0,1000,✓,
FRB20190609A,1,999,✕,2; 3
FRB20200508H,0,999,✓,
FRB20190129A,0,998,✕,2; 3
FRB20181203B,0,996,✕,
FRB20190601C,0,994,✕,1; 3
FRB20181214A,0,994,✕,3
FRB20210426B,0,993,✓,
FRB20190206B,0,990,✕,2
FRB20181125A,2,980,✕,1; 3
FRB20190409B,0,976,✕,2; 3
FRB20190206A,0,961,✕,2; 3
FRB20190918C,0,960,✓,
FRB20190609A,0,952,✕,2; 3
FRB20190601C,1,951,✕,1; 3
FRB20181129B,0,949,✕,
FRB20190106A,0,946,✕,2
FRB20190223A,0,938,✕,3
FRB20181128C,0,917,✕,2
FRB20180925A,0,907,✕,2
FRB20181125A,0,905,✕,1; 3
FRB20190430A,0,872,✕,3
FRB20190601B,0,847,✕,3
FRB20190214A,0,845,✕,
FRB20190422A,2,840,✕,1; 2; 3
FRB20180801A,0,807,✕,2
FRB20181213B,0,788,✕,
FRB20181125A,1,785,✕,1; 3
FRB20190701C,0,751,✕,
FRB20190529A,0,748,✕,
FRB20190118B,0,695,✕,
FRB20190403E,0,604,✕,3
FRB20201016A,0,549,✓,
FRB20190412B,0,476,✕,2; 3
FRB20190411C,0,441,✕,
FRB20190403G,0,434,✕,
FRB20190124E,0,426,✕,2
FRB20190107A,0,409,✕,2
FRB20181223B,0,400,✕,
FRB20181030E,0,384,✕,2; 3
FRB20190323D,0,378,✕,3
FRB20181228B,0,323,✕,
FRB20190531C,0,269,✕,3
FRB20190530A,0,240,✕,
FRB20181230A,0,233,✕,
FRB20190308B,1,196,✓,3
FRB20190109A,1,196,✕,
FRB20190109B,0,194,✕,2; 3
FRB20190103B,0,176,✕,
FRB20190519J,0,166,✕,
FRB20210323C,0,164,✓,
FRB20190419A,0,161,✕,3
FRB20180907E,0,145,✕,3
